,,CAPITAL OUTLAY,,,,MAINTENANCE,,,,,,
,STATE,LOCALLY,FEDERAL,,STATE,LOCALLY,FEDERAL,,ADMINISTRATION,HIGHWAY LAW,,
STATE,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL,AND,ENFORCEMENT,BOND,TOTAL
,HIGHWAYS,ROADS,UNCLASSIFIES,,HIGHWAYS,ROADS,UNCLASSIFIES,,MISCELLANEOUS,AND SAFETY,RETIREMENT,DISBURSEMENTS
Alabama,,,,,,,,,,,,
Alaska,,,,,,,,,,,,
Arizona,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,
California,,,,,,,,,,,,
Colorado,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,
Delaware,,,,,,,,,,,,
Dist. of Col.,,,,,,,,,,,,
Florida,,,,,,,,,,,,
Georgia,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,
Idaho,,,,,,,,,,,,
Illinois,,,,,,,,,,,,
Indiana,,,,,,,,,,,,
Iowa,,,,,,,,,,,,
Kansas,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,
Maine,,,,,,,,,,,,
Maryland,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,
Michigan,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,
Missouri,,,,,,,,,,,,
Montana,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,
Nevada,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,
New Mwxico,,,,,,,,,,,,
New York,,,,,,,,,,,,
Nothe Carolina,,,,,,,,,,,,
Norht Dakota,,,,,,,,,,,,
Ohio,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,
Oregon,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,
Texas,,,,,,,,,,,,
Utah,,,,,,,,,,,,
Vermont,,,,,,,,,,,,
Virginia,,,,,,,,,,,,
Washington,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,
