,POP90(THSD),SQMILES,POPDENS=LAND,CAPTOTTOT93,MILTOTTOT93,MILES92,NETMILES,PCAPperMIL93
Alabama,4089,52423,78.0001144535795,470232,92209,92201,8,58779
Alaska,570,591004,0.964460477424857,242000,13849,13634,215,1125.58139534884
Arizona,3750,114006,32.8930056312826,480799,55763,55969,-206,-2333.97572815534
Arkansas,2372,53182,44.6015569177541,362332,77192,77162,30,12077.7333333333
California,30380,163707,185.575448820148,2135323,169201,168378,823,2594.56014580802
Colorado,3377,104091,32.4427664255315,341276,78721,78043,678,503.356932153392
Connecticut,3291,5544,593.614718614719,588122,20357,20280,77,7637.94805194805
Delaware,680,2489,273.202089192447,205535,5544,5524,20,10276.75
Dist.  of  Col.,598,67,8925.37313432836,108194,1107,1104,3,36064.6666666667
Florida,13277,65758,201.906992305119,1684969,112808,110640,2168,777.199723247232
Georgia,6623,59441,111.421409464848,737696,110879,110790,89,8288.7191011236
Hawaii,1135,6470,175.425038639876,303746,4106,4106,0,NA
Idaho,1039,83574,12.4320961064446,124933,58835,58588,247,505.801619433198
Illinois,11543,57918,199.299008943679,1469756,136965,136402,563,2610.57904085258
Indiana,5610,36420,154.036243822076,635631,92374,92054,320,1986.346875
Iowa,2795,56276,49.6659321913427,412640,112708,112586,122,3382.29508196721
Kansas,2495,82282,30.3225492817384,433598,133256,133655,-399,-1086.71177944862
Kentucky,3713,40411,91.8809235109252,NA,72632,71765,867,NA
Louisiana,4252,51843,82.0168585922883,598835,59599,58629,970,617.355670103093
Maine,1235,35387,34.8998219685195,138465,22510,22481,29,4774.65517241379
Maryland,4860,12407,391.71435479971,471633,29313,29172,141,3344.91489361702
Massachusetts,5996,10555,568.072003789673,NA,30563,34323,-3760,NA
Michigan,9368,96810,96.7668629273835,561494,117659,117520,139,4039.52517985612
Minnesota,4432,86943,50.9759267566107,608127,129959,129622,337,1804.53115727003
Mississippi,2592,48434,53.5161250361316,433576,72834,72795,39,11117.3333333333
Missouri,5158,69709,73.9933150669211,500132,121787,121424,363,1377.7741046832
Montana ,808,147046,5.49487915346218,190349,69768,70357,-589,-323.173174872666
Nebraska,1593,77355,20.5933682373473,272526,92702,92686,16,17032.875
Nevada,1284,110567,11.612868215652,NA,45778,45657,121,NA
New  Hampshire,1105,9351,118.16917976687,171552,14938,14913,25,6862.08
New  Jersey,7760,8722,889.704196285256,1041696,35097,34286,811,1284.45869297164
New  Mexico,1548,121598,12.7304725406668,316817,60812,61195,-383,-827.198433420366
New  York,18058,54475,331.491509866911,2205223,111882,111686,196,11251.137755102
North  Carolina,6737,53821,125.174188513777,820790,96028,95582,446,1840.33632286996
North  Dakota,635,70704,8.98110432224485,123086,86727,86648,79,1558.05063291139
Ohio,10939,44828,244.021593646828,822230,113823,113823,0,NA
Oklahoma,3175,69903,45.4200821137862,333481,112467,112432,35,9528.02857142857
Oregon,2922,98386,29.6993474681357,317143,96036,95237,799,396.924906132666
Pennsylvania,11961,46058,259.694298493204,1285147,117038,116788,250,5140.588
Rhode  Island,1004,1545,649.838187702265,221563,6057,6120,-63,-3516.87301587302
South  Carolina,3560,32007,111.225669384822,406976,64158,64129,29,14033.6551724138
South  Dakota,703,77121,9.11554570091155,189051,83305,83299,6,31508.5
Tennessee,4953,42146,117.520049352252,569278,85037,85144,-107,-5320.35514018692
Texas,17349,268601,64.5902286290818,1978812,294142,293317,825,2398.56
Utah,1770,84904,20.8470743427872,230994,40508,43270,-2762,-83.6328747284576
Vermont,567,9615,58.9703588143526,109862,14166,14145,21,5231.52380952381
Virginia,6286,42769,146.975613177769,625766,68429,68429,0,NA
Washington,5018,71303,70.3757205166683,676259,79428,79413,15,45083.9333333333
West  Virginia,1801,24231,74.3262762576864,467439,35045,34919,126,3709.83333333333
Wisconsin,4955,65503,75.6453902874678,650001,110978,110371,607,1070.84184514003
Wyoming,460,97818,4.70261097139586,158786,37642,39022,-1380,-115.06231884058
Undistributed,,,,,0,,0,
Total,252181,3717528,67.8356692942192,28233871,3904721,3901715,3006,
"Average Price of Bituminous Concrete (Contract Price per Ton) p.7 (TE183.U5) ""Price Trends for Federal Aid Highway Construction, Fourth Quarter 1993",,,,,,,,
"Average Price of Common Excavation (Contract Price per cu yd) p.7 (TE183.U5) ""Price Trends for Federal Aid Highway Construction, Fourth Quarter 1993",,,,,,,,
"Average Price of Reinforcing Steel (Contract Price per lb) p.7 (TE183.U5) ""Price Trends for Federal Aid Highway Construction, Fourth Quarter 1993",,,,,,,,
"Average Price of Structural Concrete (Contract Price per cu yd) p.7 (TE183.U5) ""Price Trends for Federal Aid Highway Construction, Fourth Quarter 1993",,,,,,,,
"Govt Salaries from BLS:.  State and industry average annual pay for 1993 and 1994, press release Tuesday Sept. 19, 1995",,,,,,,,
Technical information:  (202) 606-6567         USDL 95-376,,,,,,,,
